subject_id,service_id,paid,subject_url_id,subtitle_locales,remark
43557,bilibili.com_cn,0,2667,zh_CN,我女友与青梅竹马的惨烈修罗场-B站大陆
43557,crunchyroll.com,0,251451,en_US,我女友与青梅竹马的惨烈修罗场-Crunchyroll
49294,bilibili.com_cn,0,3068,zh_CN,LoveLive! School Idol Project 第1期-B站大陆
49294,crunchyroll.com,0,251705,en_US:es_MX:pt_BR,LoveLive! School Idol Project 第1期-Crunchyroll
55113,bilibili.com_cn,0,116772,zh_CN,玉子市场-B站大陆
48031,bilibili.com_cn,0,637,zh_CN,GJ部-B站大陆
48031,iqiyi.com,0,a_19rrifty6p,zh_CN,GJ部-爱奇艺
48031,crunchyroll.com,0,253187,en_US,GJ部-Crunchyroll
