subject_id,service_id,paid,subject_url_id,subtitle_locales,remark
293648,bilibili.com_hk,0,28229301,zh_HK,弩级战队H×EROS-B站港台
292222,youku.com,1,zcdec9dd7bfdf4204bf45,zh_CN,魔王学院的不适任者～史上最强的魔王始祖，转生就读子孙们的学校～-优酷
292222,bilibili.com_hk,0,28229299,zh_HK,魔王学院的不适任者～史上最强的魔王始祖，转生就读子孙们的学校～-B站台湾
292222,crunchyroll.com,0,279475,en_US:es_MX:pt_BR,魔王学院的不适任者～史上最强的魔王始祖，转生就读子孙们的学校～-Crunchyroll
285813,acfun.cn,0,6002662,zh_CN,大欺诈师-A站
277954,bilibili.com_cn,2,28228386,zh_CN,我的青春恋爱物语果然有问题。完 (第3期)-B站大陆
277954,iqiyi.com,2,a_19rrhlk4v9,zh_CN,我的青春恋爱物语果然有问题。完 (第3期)-爱奇艺
277954,v.qq.com,1,mzc00200ntj3ii2,zh_CN,我的青春恋爱物语果然有问题。完 (第3期)-腾讯视频
277954,youku.com,2,zdbda61011e74459286be,zh_CN,我的青春恋爱物语果然有问题。完 (第3期)-优酷
277954,bilibili.com_hk,0,28228474,zh_HK,我的青春恋爱物语果然有问题。完 (第3期)-B站港台
277954,crunchyroll.com,0,253981,en_US:es_MX:pt_BR,我的青春恋爱物语果然有问题。完 (第3期)-Crunchyroll
299498,bilibili.com_cn,1,28229231,zh_CN,宇崎学妹想要玩！-B站大陆
299498,bilibili.com_hk,1,28229349,zh_HK,宇崎学妹想要玩！-B站港台
296076,acfun.cn,0,6002917,zh_CN,租借女友-A站
296076,crunchyroll.com,0,279577,ar_SA:de_DE:en_US:es_ES:es_MX:fr_FR:it_IT:pt_BR:ru_RU,租借女友-Crunchyroll
296076,bilibili.com_hk,0,28229298,zh_HK,租借女友-B站港台
291195,bilibili.com_hk,0,28229302,zh_HK,彼得·格里尔的贤者时间-B站港台
291195,crunchyroll.com,0,279576,en_US:es_MX:pt_BR,彼得·格里尔的贤者时间-Crunchyroll
292238,bilibili.com_cn,1,28228119,zh_CN,刀剑神域 爱丽丝篇 异界战争 第2部 (第3期第3部)-B站大陆
292238,iqiyi.com,2,a_19rrhzrr7d,zh_CN,刀剑神域 爱丽丝篇 异界战争 第2部 (第3期第3部)-爱奇艺
292238,bilibili.com_hk,0,28228510,zh_HK,刀剑神域 爱丽丝篇 异界战争 第2部 (第3期第3部)-B站台湾
292238,crunchyroll.com,0,246948,en_US:es_MX:pt_BR,刀剑神域 爱丽丝篇 异界战争 第2部 (第3期第3部)-Crunchyroll
