subject_id,service_id,paid,subject_url_id,subtitle_locales,remark
37785,bilibili.com_cn,0,1598,zh_CN,来自新世界-B站大陆
37785,iqiyi.com,0,a_19rrjqp109,zh_CN,来自新世界-爱奇艺
37785,le.com,0,81938,zh_CN,来自新世界-乐视视频
37785,pptv.com,0,yzAMiavJYyAZp508,zh_CN,来自新世界-PP视频
37785,v.qq.com,0,r9r36ir1vwxdvpo,zh_CN,来自新世界-腾讯视频
37785,crunchyroll.com,0,249152,en_US:es_MX:pt_BR,来自新世界-Crunchyroll
40533,bilibili.com_cn,0,688,zh_CN,邻座的怪同学-B站大陆
40533,iqiyi.com,0,a_19rrgaz7fp,zh_CN,邻座的怪同学-爱奇艺
40533,le.com,0,81942,zh_CN,邻座的怪同学-乐视视频
40533,pptv.com,0,4Bfxb9c9retOzDQ,zh_CN,邻座的怪同学-PP视频
40533,crunchyroll.com,0,249314,en_US:es_MX:pt_BR,邻座的怪同学-Crunchyroll
29648,bilibili.com_cn,1,4340,zh_CN,中二病也要谈恋爱！ (第1期)-B站大陆
29648,pptv.com,0,5h3nZc0zoibFEwiao,zh_CN,中二病也要谈恋爱！ (第1期)-PP视频
29648,crunchyroll.com,0,259479,en_US,中二病也要谈恋爱！ (第1期)-Crunchyroll
40339,crunchyroll.com,0,273809,en_US,就算是哥哥，有爱就没问题了，对吧-Crunchyroll
37694,crunchyroll.com,0,266779,en_US,出包王女 Darkness (第3期)-Crunchyroll
41488,bilibili.com_cn,0,687,zh_CN,樱花庄的宠物女孩-B站大陆
41488,v.qq.com,0,ycyyr0ubvaayanp,zh_CN,樱花庄的宠物女孩-腾讯视频
41488,crunchyroll.com,0,249482,en_US,樱花庄的宠物女孩-Crunchyroll
