subject_id,service_id,paid,subject_url_id,subtitle_locales,remark
207573,bilibili.com_cn,1,5989,zh_CN,月色真美-B站大陆
207573,crunchyroll.com,0,272937,ar_SA:de_DE:en_US:es_ES:es_MX:fr_FR:it_IT:pt_BR,月色真美-Crunchyroll
190907,bilibili.com_cn,0,5993,zh_CN,雏子的笔记-B站大陆
190907,crunchyroll.com,0,272911,ar_SA:de_DE:en_US:es_ES:es_MX:fr_FR:it_IT:pt_BR:ru_RU,雏子的笔记-Crunchyroll
172498,bilibili.com_cn,0,5997,zh_CN,埃罗芒阿老师-B站大陆
172498,crunchyroll.com,0,272941,en_US:es_MX:pt_BR,埃罗芒阿老师-Crunchyroll
132734,bilibili.com_cn,1,28228738,zh_CN,路人女主的养成方法♭ (第2期)-B站大陆
172155,bilibili.com_cn,1,28228037,zh_CN,在地下城寻求邂逅是否搞错了什么外传 剑姬神圣谭-B站大陆
172155,v.qq.com,1,mzc00200yho3rg6,zh_CN,在地下城寻求邂逅是否搞错了什么外传 剑姬神圣谭-腾讯视频
