subject_id,service_id,paid,subject_url_id,subtitle_locales,remark
84872,crunchyroll.com,0,260315,ar_SA:en_US:es_MX:it_IT:pt_BR,魔法科高校的劣等生 (第1期)-Crunchyroll
75989,bilibili.com_cn,0,3071,zh_CN,LoveLive! School Idol Project 第2期-B站大陆
75989,iqiyi.com,0,a_19rrgi8vct,zh_CN,LoveLive! School Idol Project 第2期-爱奇艺
75989,crunchyroll.com,0,251705,de_DE:en_US:es_ES:es_MX:fr_FR:pt_BR,LoveLive! School Idol Project 第2期-Crunchyroll
88493,bilibili.com_cn,0,173,zh_CN,一周的朋友。-B站大陆
88493,v.qq.com,2,kg70mw6f4nhwwj8,zh_CN,一周的朋友。-腾讯视频
88493,youku.com,0,z1e43612e825c11e3a705,zh_CN,一周的朋友。-优酷
88493,crunchyroll.com,0,260263,en_US,一周的朋友。-Crunchyroll
89751,acfun.cn,0,6000336,zh_CN,漫画家与助手-A站
89751,bilibili.com_cn,0,177,zh_CN,漫画家与助手-B站大陆
89751,v.qq.com,1,6x90bmhf9lnm0fb,zh_CN,漫画家与助手-腾讯视频
89751,crunchyroll.com,0,260307,en_US:es_MX:pt_BR,漫画家与助手-Crunchyroll
79227,acfun.cn,0,6000708,zh_CN,NO GAME NO LIFE 游戏人生-A站
79227,bilibili.com_cn,0,184,zh_CN,NO GAME NO LIFE 游戏人生-B站大陆
79227,v.qq.com,1,naswhw859y20asu,zh_CN,NO GAME NO LIFE 游戏人生-腾讯视频
79227,crunchyroll.com,0,260547,en_US:es_MX:pt_BR,NO GAME NO LIFE 游戏人生-Crunchyroll
88287,bilibili.com_cn,1,191,zh_CN,请问您今天要来点兔子吗？ (第1期)-B站大陆
88287,v.qq.com,2,o2fm6biw90g8tbv,zh_CN,请问您今天要来点兔子吗？ (第1期)-腾讯视频
88287,crunchyroll.com,0,260309,en_US:es_MX:pt_BR,请问您今天要来点兔子吗？ (第1期)-Crunchyroll
76325,bilibili.com_hk,0,4187,zh_HK,约会大作战 第2期-B站港台
76325,crunchyroll.com,0,275937,en_US,约会大作战 第2期-Crunchyroll
