subject_id,service_id,paid,subject_url_id,subtitle_locales,remark
262943,bilibili.com_cn,1,28222693,zh_CN,喜欢本大爷的竟然就你一个？-B站大陆
262943,bilibili.com_hk,0,28222862,zh_HK,喜欢本大爷的竟然就你一个？-B站台湾
262943,crunchyroll.com,0,278619,en_US:es_MX:pt_BR,喜欢本大爷的竟然就你一个？-Crunchyroll
259790,bilibili.com_cn,2,28222625,zh_CN,放学后桌游俱乐部-B站大陆
259790,iqiyi.com,0,a_19rrhyyont,zh_CN,放学后桌游俱乐部-爱奇艺大陆
259790,youku.com,1,zfeddb8b330944aff896f,zh_CN,放学后桌游俱乐部-优酷
259790,bilibili.com_hk,0,28222866,zh_HK,放学后桌游俱乐部-B站港台
278220,bilibili.com_cn,2,28222735,zh_CN,厨病激发男孩-B站大陆
278220,bilibili.com_hk,0,28222844,zh_HK,厨病激发男孩-B站台湾
282564,bilibili.com_hk,1,28222623,zh_HK,战×恋-B站港台
285130,bilibili.com_cn,1,28222688,zh_CN,我们真的学不来！ (第2期)-B站大陆
285130,bilibili.com_hk,0,28222855,zh_HK,我们真的学不来！ (第2期)-B站台湾
285130,crunchyroll.com,0,277767,en_US:es_MX:pt_BR,我们真的学不来！ (第2期)-Crunchyroll
238962,bilibili.com_cn,1,28222622,zh_CN,我，不是说了能力要平均值么！-B站大陆
238962,bilibili.com_hk,1,28222949,zh_HK,我，不是说了能力要平均值么！-B站港台
238962,crunchyroll.com,0,278628,ar_SA:de_DE:en_US:es_ES:es_MX:fr_FR:it_IT:pt_BR:ru_RU,我，不是说了能力要平均值么！-Crunchyroll
264356,bilibili.com_cn,1,28222619,zh_CN,刺客守则-B站大陆
264356,bilibili.com_hk,1,28222840,zh_HK,刺客守则-B站港台
264356,crunchyroll.com,0,278630,ar_SA:de_DE:en_US:es_ES:es_MX:fr_FR:it_IT:pt_BR:ru_RU,刺客守则-Crunchyroll
248665,bilibili.com_cn,1,28222738,zh_CN,星合之空-B站大陆
248665,bilibili.com_hk,0,28222842,zh_HK,星合之空-B站台湾
279457,bilibili.com_cn,1,28222723,zh_CN,刀剑神域 爱丽丝篇 异界战争 第1部 (第3期第2部)-B站大陆
279457,iqiyi.com,2,a_19rrhzrr7d,zh_CN,刀剑神域 爱丽丝篇 异界战争 第1部 (第3期第2部)-爱奇艺大陆
279457,bilibili.com_hk,0,28222854,zh_HK,刀剑神域 爱丽丝篇 异界战争 第1部 (第3期第2部)-B站台湾
279457,crunchyroll.com,0,246948,en_US:es_MX:pt_BR,刀剑神域 爱丽丝篇 异界战争 第1部 (第3期第2部)-Crunchyroll
263771,bilibili.com_cn,2,28222731,zh_CN,美妙射击部-B站大陆
263771,bilibili.com_hk,0,28222858,zh_HK,美妙射击部-B站台湾
