subject_id,service_id,paid,subject_url_id,subtitle_locales,remark
50814,bilibili.com_cn,0,2932,zh_CN,打工吧！魔王大人-B站大陆
50814,iqiyi.com,0,a_19rrjx97w1,zh_CN,打工吧！魔王大人-爱奇艺
50814,crunchyroll.com,0,272685,en_US,打工吧！魔王大人-Crunchyroll
54433,bilibili.com_cn,0,1539,zh_CN,我的青春恋爱物语果然有问题。 (第1期)-B站大陆
54433,iqiyi.com,0,a_19rrhb343l,zh_CN,我的青春恋爱物语果然有问题。 (第1期)-爱奇艺
54433,pptv.com,0,06uFA2vRQXiciaYMg,zh_CN,我的青春恋爱物语果然有问题。 (第1期)-PP视频
54433,v.qq.com,1,5wiuorx70i3vdqb,zh_CN,我的青春恋爱物语果然有问题。 (第1期)-腾讯视频
54433,crunchyroll.com,0,253981,en_US,我的青春恋爱物语果然有问题。 (第1期)-Crunchyroll
49131,bilibili.com_cn,0,4188,zh_CN,约会大作战 第1期-B站大陆
49131,crunchyroll.com,0,275937,en_US,约会大作战 第1期-Crunchyroll
51928,acfun.cn,0,6000233,zh_CN,某科学的超电磁炮S (第2期)-A站
51928,bilibili.com_cn,0,427,zh_CN,某科学的超电磁炮S (第2期)-B站大陆
51928,iqiyi.com,0,a_19rrjwiwi1,zh_CN,某科学的超电磁炮S (第2期)-爱奇艺
51928,crunchyroll.com,0,271889,en_US,某科学的超电磁炮S (第2期)-Crunchyroll
45842,pptv.com,0,NsexL5f9basOjPQ,zh_CN,变态王子与不笑猫。-PP视频
45842,crunchyroll.com,0,254055,en_US,变态王子与不笑猫。-Crunchyroll
