subject_id,service_id,paid,subject_url_id,subtitle_locales,remark
110648,bilibili.com_cn,1,2587,zh_CN,WORKING!!! 迷糊餐厅 (第3期)-B站大陆
110648,crunchyroll.com,0,238016,en_US:es_MX:pt_BR,WORKING!!! 迷糊餐厅 (第3期)-Crunchyroll
120925,bilibili.com_cn,0,2572,zh_CN,Charlotte-B站大陆
120925,iqiyi.com,0,a_19rrhb5qhd,zh_CN,Charlotte-爱奇艺
120925,le.com,0,10010346,zh_CN,Charlotte-乐视视频
120925,pptv.com,0,OQicpZ881peNGxCw,zh_CN,Charlotte-PP视频
120925,v.qq.com,1,keh8jx4nea7e5w0,zh_CN,Charlotte-腾讯视频
120925,youku.com,0,z074ab022197c11e5b5ce,zh_CN,Charlotte-优酷
120925,crunchyroll.com,0,266763,en_US:es_MX:pt_BR,Charlotte-Crunchyroll
120763,crunchyroll.com,0,266779,en_US,出包王女 Darkness 2nd (第4期)-Crunchyroll
101442,youku.com,1,z837ad5f2198411e5b432,zh_CN,悠哉日常大王 Repeat (第2期)-优酷
101442,crunchyroll.com,0,257295,ar_SA:de_DE:en_US:es_ES:es_MX:fr_FR:it_IT:pt_BR,悠哉日常大王 Repeat (第2期)-Crunchyroll
120187,acfun.cn,0,5025415,zh_CN,干物妹！小埋 (第1期)-A站
120187,bilibili.com_cn,1,2580,zh_CN,干物妹！小埋 (第1期)-B站大陆
120187,le.com,0,10010414,zh_CN,干物妹！小埋 (第1期)-乐视视频
120187,v.qq.com,1,3lriily11h16j01,zh_CN,干物妹！小埋 (第1期)-腾讯视频
120187,youku.com,1,zc4d8c0401afb11e5b5ce,zh_CN,干物妹！小埋 (第1期)-优酷
120187,crunchyroll.com,0,266785,en_US,干物妹！小埋 (第1期)-Crunchyroll
106693,bilibili.com_cn,0,2592,zh_CN,学园孤岛-B站大陆
106693,iqiyi.com,0,a_19rrh9o7qd,zh_CN,学园孤岛-爱奇艺
106693,v.qq.com,1,f6za0go0jf6fzrm,zh_CN,学园孤岛-腾讯视频
106693,crunchyroll.com,0,266787,ar_SA:en_US:es_ES:es_MX:fr_FR:it_IT:pt_BR,学园孤岛-Crunchyroll
