id,name_jp,name_cn,name_en,mal_id,website,on_air_date,bgm_image_url
3449,おまもりひまり,守护猫娘绯鞠,Omamori Himari,6324,http://kadokawa-anime.jp/omahima/,2010-01-07 01:30:00+09,86/a1/3449_QHdpQ
3326,バカとテストと召喚獣 (第1期),笨蛋，测验，召唤兽 第1期,Baka & Test - Summon the Beasts (Season 1),6347,http://bakatest.com/,2010-01-07 02:20:00+09,db/a1/3326_X7oUu
1851,Angel Beats!,Angel Beats!,Angel Beats!,6547,https://www.angelbeats.jp/,2010-04-03 02:00:00+09,ff/14/1851_ZFEg7
4255,WORKING!! (第1期),WORKING!! 迷糊餐厅 (第1期),WORKING!! (Season 1),6956,https://www.wagnaria.com/1st/,2010-04-04 23:00:00+09,87/db/4255_jm37v
4292,迷い猫オーバーラン！,迷途猫OVERRUN,Mayoi Neko Overrun!,7590,http://www.patisserie-straycats.com/,2010-04-06 23:00:00+09,8d/8f/4292_n644O
3774,けいおん！！ (第2期),轻音少女 第2期,K-ON!! (Season 2),7791,https://www.tbs.co.jp/anime/k-on/k-on_tv/,2010-04-07 01:25:00+09,73/f1/3774_hs9Fr
5436,俺の妹がこんなに可愛いわけがない (第1期),我的妹妹哪有这么可爱！ (第1期),Oreimo (Season 1),8769,https://www.oreimo-anime.com/1st/,2010-10-03 23:30:00+09,cf/8c/5436_qvFU5
7157,ヨスガノソラ,缘之空,Yosuga no Sora,8861,http://king-cr.jp/special/yosuganosora/,2010-10-04 23:30:00+09,6e/01/7157_hF46A
8546,もっとTo LOVEる-とらぶる- (第2期),更多出包王女 (第2期),Motto To LOVE Ru (Season 2),9181,http://www.j-toloveru.com/old/,2010-10-06 02:00:00+09,2f/40/8546_gBpmI
7843,とある魔術の禁書目録II,魔法禁书目录 第2期,A Certain Magical Index II,8937,https://toaru-project.com/index_1_2/,2010-10-08 23:30:00+09,8d/91/7843_KPkpp
