id,name_jp,name_cn,name_en,mal_id,website,on_air_date,bgm_image_url
22657,あの夏で待ってる,在盛夏等待,Waiting in the Summer,11433,https://www.ichika-ichika.com/,2012-01-10 01:30:00+09,6f/ad/22657_P0ZpP
20851,Another,Another,Another,11111,http://www.another-anime.jp/,2012-01-10 01:35:00+09,d3/39/20851_G2NKK
25444,パパのいうことを聞きなさい！,要听爸爸的话！,"Listen to Me, Girls. I Am Your Father!",11179,http://king-cr.jp/special/papakiki/,2012-01-11 01:30:00+09,d6/30/25444_NJXDO
24508,這いよれ! ニャル子さん (第1期),潜行吧！奈亚子 (第1期),Nyarko-san: Another Crawling Chaos,11785,https://nyaruko.com/first/,2012-04-10 02:00:00+09,f8/c0/24508_GalOa
27364,氷菓,冰菓,Hyouka,12189,https://www.kyotoanimation.co.jp/kotenbu/,2012-04-23 00:00:00+09,cd/38/27364_B4xxy
37137,TARI TARI,TARI TARI,TARI TARI,13333,http://taritari.jp/,2012-07-01 22:30:00+09,de/a5/37137_2F57F
28900,ゆるゆり♪♪ (第2期),摇曳百合♪♪ (第2期),Yuru Yuri♪♪ (Season 2),12403,https://yuruyuri.com/2nd/,2012-07-03 02:00:00+09,f2/9f/28900_PB3pC
41028,この中に1人、妹がいる！,三人行必有我妹,Nakaimo: My Sister Is Among Them!,13367,https://www.tbs.co.jp/anime/nakaimo/,2012-07-06 01:55:00+09,ad/52/41028_WRhd0
23686,ソードアート・オンライン (第1期),刀剑神域 第1期,Sword Art Online (Season 1),11757,https://www.swordart-online.net/,2012-07-08 00:00:00+09,2e/c8/23686_e36x9
37154,ココロコネクト,心灵链环,Kokoro Connect,11887,http://kokoro-connect.com/,2012-07-08 00:30:00+09,07/2e/37154_69Axl
37785,新世界より,来自新世界,From the New World,13125,https://www.tv-asahi.co.jp/shinsekaiyori/,2012-09-29 00:30:00+09,9a/64/37785_aBBEd
40533,となりの怪物くん,邻座的怪同学,My Little Monster,14227,https://www.tk-anime.info/,2012-10-02 01:35:00+09,a0/ab/40533_SkUil
29648,中二病でも恋がしたい！ (第1期),中二病也要谈恋爱！ (第1期),"Love, Chunibyo & Other Delusions! (Season 1)",14741,http://www.anime-chu-2.com/tv/,2012-10-04 00:30:00+09,3d/fd/29648_hkoQV
40339,お兄ちゃんだけど愛さえあれば関係ないよねっ,就算是哥哥，有爱就没问题了，对吧,OniAi,14199,https://mfbunkoj.jp/special/oniai/,2012-10-05 23:00:00+09,87/0c/40339_6lykE
37694,To LOVEる-とらぶる-ダークネス (第3期),出包王女 Darkness (第3期),To LOVE Ru Darkness (Season 3),13663,http://www.j-toloveru.com/,2012-10-06 01:00:00+09,46/3e/37694_irI8V
41488,さくら荘のペットな彼女,樱花庄的宠物女孩,The Pet Girl of Sakurasou,13759,http://sakurasou.tv/,2012-10-09 00:30:00+09,01/a2/41488_qw09G
