id,name_jp,name_cn,name_en,mal_id,website,on_air_date,bgm_image_url
43557,俺の彼女と幼なじみが修羅場すぎる,我女友与青梅竹马的惨烈修罗场,Oreshura,14749,https://www.oreshura.net/,2013-01-06 00:00:00+09,c2/38/43557_jUaQk
49294,ラブライブ！ School Idol Project 第1期,LoveLive! School Idol Project 第1期,Love Live! School Idol Project Season 1,15051,http://lovelive-anime.jp/otonokizaka/,2013-01-06 22:30:00+09,75/74/49294_ISOI2
55113,たまこまーけっと,玉子市场,Tamako Market,16417,http://tamakomarket.com/,2013-01-10 00:30:00+09,f8/7f/55113_TR5Is
48031,GJ部,GJ部,GJ Club,14811,http://www.ntv.co.jp/gj/series/,2013-01-10 01:29:00+09,8e/a4/48031_31K3k
50814,はたらく魔王さま！,打工吧！魔王大人,The Devil is a Part-Timer!,15809,http://maousama.jp/,2013-04-04 22:00:00+09,4a/9f/50814_B44q8
54433,やはり俺の青春ラブコメはまちがっている。 (第1期),我的青春恋爱物语果然有问题。 (第1期),My Teen Romantic Comedy SNAFU (Season 1),14813,https://www.tbs.co.jp/anime/oregairu/1st/,2013-04-05 01:28:00+09,1e/f1/54433_pc175
49131,デート・ア・ライブ (Season 1),约会大作战 第1期,Date A Live (Season 1),15583,http://date-a-live-anime.com/1st-2nd/,2013-04-06 01:30:00+09,99/08/49131_CIPjC
51928,とある科学の超電磁砲S (第2期),某科学的超电磁炮S (第2期),A Certain Scientific Railgun S (Season 2),16049,https://toaru-project.com/railgun_s/,2013-04-12 23:30:00+09,99/8c/51928_wuG5D
45842,変態王子と笑わない猫。,变态王子与不笑猫。,"The ""Hentai"" Prince and the Stony Cat.",15225,http://henneko.jp/,2013-04-13 22:30:00+09,9c/1e/45842_64h7b
58850,恋愛ラボ,恋爱研究所,Love Lab,16353,https://www.love-lab.tv/,2013-07-05 02:05:00+09,80/69/58850_eZLEn
69944,サーバント×サービス,跟班×服务,Servant × Service,18119,https://www.servantservice.org/,2013-07-05 03:08:00+09,b0/46/69944_FZmY2
66655,君のいる町,有你的小镇,A Town Where You Live,17741,http://www.gonzo.co.jp/archives/kimimachi/,2013-07-13 23:30:00+09,e8/fc/66655_51vlT
49278,境界の彼方,境界的彼方,Beyond the Boundary,18153,http://tv.anime-kyokai.com/,2013-10-03 00:30:00+09,0e/32/49278_8dE0u
47889,凪のあすから,来自风平浪静的明天,Nagi-Asu: A Lull in the Sea,16067,http://www.nagiasu.jp/,2013-10-03 22:00:00+09,16/29/47889_gZy58
69496,WHITE ALBUM2,白色相簿2,White Album 2,18245,https://whitealbum2.jp/,2013-10-06 01:30:00+09,01/35/69496_xMBm7
78405,のんのんびより (第1期),悠哉日常大王 (第1期),Non Non Biyori (Season 1),17549,http://nonnontv.com/tvanime/,2013-10-08 02:05:00+09,47/fa/78405_dFAHw
77570,俺の脳内選択肢が、学園ラブコメを全力で邪魔している,我的脑内选项正在全力妨碍学园恋爱喜剧,My Mental Choices Are Completely Interfering With My School Romantic Comedy,19221,http://noucome.jp/,2013-10-10 01:00:00+09,7a/47/77570_hjy2A
