subject_id,episode_id,service_id,episode_url_id,video_url_id,remark
14588,103035,crunchyroll.com,580684,,EP1-Crunchyroll
14588,103036,crunchyroll.com,580772,,EP2-Crunchyroll
14588,103037,crunchyroll.com,580988,,EP3-Crunchyroll
14588,103038,crunchyroll.com,580990,,EP4-Crunchyroll
14588,103039,crunchyroll.com,580992,,EP5-Crunchyroll
14588,103040,crunchyroll.com,580994,,EP6-Crunchyroll
14588,103041,crunchyroll.com,580996,,EP7-Crunchyroll
14588,103042,crunchyroll.com,580998,,EP8-Crunchyroll
14588,103043,crunchyroll.com,581000,,EP9-Crunchyroll
14588,103044,crunchyroll.com,581002,,EP10-Crunchyroll
14588,103045,crunchyroll.com,581004,,EP11-Crunchyroll
14588,103046,crunchyroll.com,581006,,EP12-Crunchyroll
