subject_id,episode_id,service_id,episode_url_id,video_url_id,remark
298718,942783,acfun.cn,36188_1720751,,EP1-A站
298718,942784,acfun.cn,36188_1721790,,EP2-A站
298718,942785,acfun.cn,36188_1742139,,EP3-A站
298718,942786,acfun.cn,36188_1742840,,EP4-A站
298718,942787,acfun.cn,36188_1743514,,EP5-A站
298718,942788,acfun.cn,36188_1744345,,EP6-A站
298718,942789,acfun.cn,36188_1745189,,EP7-A站
298718,942790,acfun.cn,36188_1746337,,EP8-A站
298718,942791,acfun.cn,36188_1746960,,EP9-A站
298718,942792,acfun.cn,36188_1747658,,EP10-A站
298718,942793,acfun.cn,36188_1748528,,EP11-A站
298718,942783,bilibili.com_hk,BV1Mk4y1R735,,EP1-B站港台
298718,942784,bilibili.com_hk,BV1og4y1875P,,EP2-B站港台
298718,942785,bilibili.com_hk,BV1JT4y1j7Ti,,EP3-B站港台
298718,942786,bilibili.com_hk,BV1v64y1c7MR,,EP4-B站港台
298718,942787,bilibili.com_hk,BV1dV411z7mh,,EP5-B站港台
298718,942788,bilibili.com_hk,BV1jv411i7Ej,,EP6-B站港台
298718,942789,bilibili.com_hk,BV1ti4y1M7BM,,EP7-B站港台
298718,942790,bilibili.com_hk,BV1ff4y1Q7Hy,,EP8-B站港台
298718,942791,bilibili.com_hk,BV1wf4y1D7wC,,EP9-B站港台
298718,942792,bilibili.com_hk,BV1Ea4y1j7Z8,,EP10-B站港台
298718,942793,bilibili.com_hk,BV1Z5411L7k5,,EP11-B站港台
